Plate_number	Well	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_conc
3	A7	P7	2	Unknown	NO2	Water	1	NA
3	A8	P7	2	Unknown	NO2	Water	1	NA
3	B7	P7	3	Unknown	NO2	Water	1	NA
3	B8	P7	3	Unknown	NO2	Water	1	NA
3	C7	P8	1	Unknown	NO2	Water	1	NA
3	C8	P8	1	Unknown	NO2	Water	1	NA
3	D7	P8	2	Unknown	NO2	Water	1	NA
3	D8	P8	2	Unknown	NO2	Water	1	NA
3	E7	P8	3	Unknown	NO2	Water	1	NA
3	E8	P8	3	Unknown	NO2	Water	1	NA
3	F7	P9	1	Unknown	NO2	Water	1	NA
3	F8	P9	1	Unknown	NO2	Water	1	NA
3	G7	P9	2	Unknown	NO2	Water	1	NA
3	G8	P9	2	Unknown	NO2	Water	1	NA
3	H7	P9	3	Unknown	NO2	Water	1	NA
3	H8	P9	3	Unknown	NO2	Water	1	NA
3	A9	P10	1	Unknown	NO2	Water	1	NA
3	A10	P10	1	Unknown	NO2	Water	1	NA
3	B9	P10	2	Unknown	NO2	Water	1	NA
3	B10	P10	2	Unknown	NO2	Water	1	NA
3	C9	P10	3	Unknown	NO2	Water	1	NA
3	C10	P10	3	Unknown	NO2	Water	1	NA
3	D9	P11	1	Unknown	NO2	Water	1	NA
3	D10	P11	1	Unknown	NO2	Water	1	NA
3	E9	P11	2	Unknown	NO2	Water	1	NA
3	E10	P11	2	Unknown	NO2	Water	1	NA
3	F9	P11	3	Unknown	NO2	Water	1	NA
3	F10	P11	3	Unknown	NO2	Water	1	NA
3	G9	P12	1	Unknown	NO2	Water	1	NA
3	G10	P12	1	Unknown	NO2	Water	1	NA
3	H9	P12	2	Unknown	NO2	Water	1	NA
3	H10	P12	2	Unknown	NO2	Water	1	NA
3	A11	P12	3	Unknown	NO2	Water	1	NA
3	A12	P12	3	Unknown	NO2	Water	1	NA
3	B11	P13	1	Unknown	NO2	Water	1	NA
3	B12	P13	1	Unknown	NO2	Water	1	NA
3	C11	P13	2	Unknown	NO2	Water	1	NA
3	C12	P13	2	Unknown	NO2	Water	1	NA
3	D11	P13	3	Unknown	NO2	Water	1	NA
3	D12	P13	3	Unknown	NO2	Water	1	NA
3	E11							NA
3	E12							NA
3	F11							NA
3	F12							NA
3	G11							NA
3	G12							NA
3	H11							NA
3	H12							NA
4	A1	Blank	NA	Blank	NO2	Water	1	NA
