"Plate_number"	"Sample_name"	"Replicate"	"Treatment"	"Dilution_factor"	"Blanking_group"	"Ave_abs"	"StdDev_abs"	"Ave_abs_blanked"	"Ave_concentration_uM"	"StdDev_Concentration_uM"
4	"P14"	2	"NO2"	1	"Water"	0.03005	7.07106781186543e-05	0.0037	-82.2599773023321	0.0760484669469896
4	"P14"	3	"NO2"	1	"Water"	0.0302	0.000565685424949237	0.00385	-82.0986541423009	0.608387735575919
4	"P15"	1	"NO2"	1	"Water"	0.0547	0.00551543289325507	0.02835	-55.7492046705427	5.93178042186522
4	"P15"	2	"NO2"	1	"Water"	0.0521	0.000424264068711931	0.02575	-58.5454727777497	0.456290801681943
4	"P15"	3	"NO2"	1	"Water"	0.32705	0.00388908729652601	0.3007	237.159879559391	4.18266568208446
4	"P16"	1	"NO2"	1	"Water"	0.11085	7.07106781186568e-05	0.0845	4.63943156779312	0.0760484669469922
4	"P16"	2	"NO2"	1	"Water"	0.11295	0.0037476659402887	0.0866	6.89795580822953	4.03056874819047
4	"P16"	3	"NO2"	1	"Water"	0.09265	7.07106781186568e-05	0.0663	-14.9344451826559	0.0760484669469922
4	"P17"	1	"NO2"	1	"Water"	0.0535	0.00127279220613578	0.02715	-57.039789950792	1.36887240504582
4	"P17"	2	"NO2"	1	"Water"	0.06085	0.000212132034355965	0.0345	-49.1349551092646	0.228145400840971
4	"P17"	3	"NO2"	1	"Water"	0.115	0.00240416305603426	0.08865	9.10270566198889	2.58564787619766
4	"P18"	1	"NO2"	1	"Water"	0.1026	0.0015556349186104	0.07625	-4.23334223392141	1.67306627283378
4	"P18"	2	"NO2"	1	"Water"	0.05585	0.00148492424049175	0.0295	-54.5123937769703	1.59701780588679
4	"P18"	3	"NO2"	1	"Water"	0.13885	0.00714177848998413	0.1125	34.7530881069454	7.68089516164599
4	"P19"	1	"NO2"	1	"Water"	0.18405	0.00445477272147525	0.1577	83.3651336630056	4.79105341766037
4	"P19"	2	"NO2"	1	"Water"	0.03105	0.0021920310216783	0.0047	-81.184489568791	2.35750247535669
4	"P19"	3	"NO2"	1	"Water"	0.03105	0.000636396103067894	0.0047	-81.184489568791	0.684436202522912
4	"P20"	1	"NO2"	1	"Water"	0.03175	0.00205060966544099	0.0054	-80.4316481553121	2.20540554146271
4	"P20"	2	"NO2"	1	"Water"	0.09185	0.000636396103067891	0.0655	-15.7948353694888	0.684436202522909
4	"P20"	3	"NO2"	1	"Water"	0.0949	0.00127279220613578	0.06855	-12.5145977821883	1.36887240504582
4	"P21"	1	"NO2"	1	"Water"	0.68615	0.0282135605693432	0.6598	623.367524674019	30.343338311849
4	"P21"	2	"NO2"	1	"Water"	0.11405	0.000494974746830588	0.0877	8.0809923151248	0.532339268628935
4	"P21"	3	"NO2"	1	"Water"	0.1116	0.000989949493661165	0.08525	5.44604736794898	1.06467853725786
4	"P22"	1	"NO2"	1	"Water"	0.13125	0.00106066017177982	0.1049	26.5793813320327	1.14072700420485
4	"P22"	2	"NO2"	1	"Water"	0.12555	0.00261629509039023	0.0992	20.4491012508481	2.81379327703864
4	"P22"	3	"NO2"	1	"Water"	0.2787	0.0176776695296637	0.25235	185.160047642676	19.0121167367475
4	"P23"	1	"NO2"	1	"Water"	0.1453	0.00240416305603425	0.11895	41.6899839882858	2.58564787619765
4	"P23"	2	"NO2"	1	"Water"	0.1406	0.00113137084989847	0.11425	36.6351916406424	1.21677547115183
4	"P23"	3	"NO2"	1	"Water"	0.34075	0.00940452018978107	0.3144	251.894061508904	10.1144461039497
4	"P24"	1	"NO2"	1	"Water"	0.1841	0.00664680374315354	0.15775	83.4189080496826	7.14855589301706
4	"P24"	2	"NO2"	1	"Water"	0.2035	0.00678822509939087	0.17715	104.283370080381	7.30065282691106
4	"P24"	3	"NO2"	1	"Water"	0.1962	0.00212132034355962	0.16985	96.4323096255306	2.28145400840968
4	"P25"	1	"NO2"	1	"Water"	0.19895	0.00685893577750952	0.1726	99.3899008927688	7.37670129385805
4	"P25"	2	"NO2"	1	"Water"	0.2089	0.0128693434175952	0.18255	110.091003841503	13.8408209843522
4	"P25"	3	"NO2"	1	"Water"	0.2049	0.00466690475583121	0.17855	105.789052907339	5.01919881850134
